transaction_id,date,url,desc,child_type,child,parent_type,parent
2286-11,2022-06-27,,Gotabaya Rajapaksa,extgztperson,2286-11,government,Government of Sri Lanka
2281-31,2022-05-26,,Gotabaya Rajapaksa,extgztperson,2281-31,government,Government of Sri Lanka
2281-32,2022-05-26,,Gotabaya Rajapaksa,extgztperson,2281-32,government,Government of Sri Lanka
2281-09,2022-05-24,,Gotabaya Rajapaksa,extgztperson,2281-09,government,Government of Sri Lanka
2279-30,2022-05-14,,Gotabaya Rajapaksa,extgztperson,2279-30,government,Government of Sri Lanka
2279-23,2022-05-12,,Gotabaya Rajapaksa,extgztperson,2279-23,government,Government of Sri Lanka
2279-12,2022-05-09,,Gotabaya Rajapaksa,extgztperson,2279-12,government,Government of Sri Lanka
2278-13,2022-05-04,,Gotabaya Rajapaksa,extgztperson,2278-13,government,Government of Sri Lanka
2276-42,2022-04-22,,Gotabaya Rajapaksa,extgztperson,2276-42,government,Government of Sri Lanka
2276-64,2022-04-22,,Gotabaya Rajapaksa,extgztperson,2276-64,government,Government of Sri Lanka
2276-63,2022-04-22,,Gotabaya Rajapaksa,extgztperson,2276-63,government,Government of Sri Lanka
2276-62,2022-04-22,,Gotabaya Rajapaksa,extgztperson,2276-62,government,Government of Sri Lanka
2276-61,2022-04-22,,Gotabaya Rajapaksa,extgztperson,2276-61,government,Government of Sri Lanka
2276-60,2022-04-22,,Gotabaya Rajapaksa,extgztperson,2276-60,government,Government of Sri Lanka
2274-25,2022-04-07,,Gotabaya Rajapaksa,extgztperson,2274-25,government,Government of Sri Lanka
2272-04,2022-03-21,,Gotabaya Rajapaksa,extgztperson,2272-04,government,Government of Sri Lanka
2271-29,2022-03-15,,Gotabaya Rajapaksa,extgztperson,2271-29,government,Government of Sri Lanka
2270-22,2022-03-09,,Gotabaya Rajapaksa,extgztperson,2270-22,government,Government of Sri Lanka
2270-17,2022-03-08,,Gotabaya Rajapaksa,extgztperson,2270-17,government,Government of Sri Lanka
2270-05,2022-03-07,,Gotabaya Rajapaksa,extgztperson,2270-05,government,Government of Sri Lanka
2266-04,2022-02-07,,Gotabaya Rajapaksa,extgztperson,2266-04,government,Government of Sri Lanka
2244-15,2021-09-09,,Gotabaya Rajapaksa,extgztperson,2244-15,government,Government of Sri Lanka
2236-57,2021-07-16,,Gotabaya Rajapaksa,extgztperson,2236-57,government,Government of Sri Lanka
2236-56,2021-07-16,,Gotabaya Rajapaksa,extgztperson,2236-56,government,Government of Sri Lanka
2231-09,2021-06-09,,Gotabaya Rajapaksa,extgztperson,2231-09,government,Government of Sri Lanka
2226-60,2021-05-07,,Gotabaya Rajapaksa,extgztperson,2226-60,government,Government of Sri Lanka
2216-13,2021-02-23,,Gotabaya Rajapaksa,extgztperson,2216-13,government,Government of Sri Lanka
2203-33,2020-11-26,,Gotabaya Rajapaksa,extgztperson,2203-33,government,Government of Sri Lanka
2196-26,2020-10-06,,Gotabaya Rajapaksa,extgztperson,2196-26,government,Government of Sri Lanka
2188-43,2020-08-13,,Gotabaya Rajapaksa,extgztperson,2188-43,government,Government of Sri Lanka
2188-42,2020-08-13,,Gotabaya Rajapaksa,extgztperson,2188-42,government,Government of Sri Lanka
2180-30,2020-06-18,,Gotabaya Rajapaksa,extgztperson,2180-30,government,Government of Sri Lanka
2161-41,2020-02-07,,Gotabaya Rajapaksa,extgztperson,2161-41,government,Government of Sri Lanka
2159-12,2020-01-21,,Gotabaya Rajapaksa,extgztperson,2159-12,government,Government of Sri Lanka
2154-55,2019-12-21,,Gotabaya Rajapaksa,extgztperson,2154-55,government,Government of Sri Lanka
2153-11,2019-12-10,,Gotabaya Rajapaksa,extgztperson,2153-11,government,Government of Sri Lanka
2153-10,2019-12-10,,Gotabaya Rajapaksa,extgztperson,2153-10,government,Government of Sri Lanka
2151-38,2019-11-27,,Gotabaya Rajapaksa,extgztperson,2151-38,government,Government of Sri Lanka
2151-18,2019-11-21,,Gotabaya Rajapaksa,extgztperson,2151-18,government,Government of Sri Lanka
2149-34,2019-11-17,,Gotabaya Rajapaksa,extgztperson,2149-34,government,Government of Sri Lanka
2191-34,2020-09-03,,Gotabaya Rajapaksa,extgztperson,2191-34,government,Government of Sri Lanka
2204-28,2020-12-04,,Gotabaya Rajapaksa,extgztperson,2204-28,government,Government of Sri Lanka
2215-45,2021-02-18,,Gotabaya Rajapaksa,extgztperson,2215-45,government,Government of Sri Lanka
2248-08,2021-10-04,,Gotabaya Rajapaksa,extgztperson,2248-08,government,Government of Sri Lanka
