transaction_id,date,url,description,child_type,child,parent_type,parent
2289-43,2022-07-22,,Ranil Wickremesinghe,extgztorg,2289-43,government,Government of Sri Lanka
2297-78,2022-09-16,,Ranil Wickremesinghe,extgztorg,2297-78,government,Government of Sri Lanka
2300-24,2022-10-05,,Ranil Wickremesinghe,extgztorg,2300-24,government,Government of Sri Lanka
2301-32,2022-10-11,,Ranil Wickremesinghe,extgztorg,2301-32,government,Government of Sri Lanka
2301-47,2022-10-13,,Ranil Wickremesinghe,extgztorg,2301-47,government,Government of Sri Lanka
2301-45,2022-10-13,,Ranil Wickremesinghe,extgztorg,2301-45,government,Government of Sri Lanka
2301-59,2022-10-14,,Ranil Wickremesinghe,extgztorg,2301-59,government,Government of Sri Lanka
2301-58,2022-10-14,,Ranil Wickremesinghe,extgztorg,2301-58,government,Government of Sri Lanka
2301-56,2022-10-14,,Ranil Wickremesinghe,extgztorg,2301-56,government,Government of Sri Lanka
2301-55,2022-10-14,,Ranil Wickremesinghe,extgztorg,2301-55,government,Government of Sri Lanka
2303-17,2022-10-26,,Ranil Wickremesinghe,extgztorg,2303-17,government,Government of Sri Lanka
2304-17,2022-11-01,,Ranil Wickremesinghe,extgztorg,2304-17,government,Government of Sri Lanka
2306-12,2022-11-14,,Ranil Wickremesinghe,extgztorg,2306-12,government,Government of Sri Lanka
2307-38,2022-11-24,,Ranil Wickremesinghe,extgztorg,2307-38,government,Government of Sri Lanka
2311-42,2022-12-22,,Ranil Wickremesinghe,extgztorg,2311-42,government,Government of Sri Lanka
2315-35,2023-01-19,,Ranil Wickremesinghe,extgztorg,2315-35,government,Government of Sri Lanka
2329-44,2023-04-27,,Ranil Wickremesinghe,extgztorg,2329-44,government,Government of Sri Lanka
2334-07,2023-05-30,,Ranil Wickremesinghe,extgztorg,2334-07,government,Government of Sri Lanka
2343-05,2023-07-31,,Ranil Wickremesinghe,extgztorg,2343-05,government,Government of Sri Lanka
2355-09,2023-10-23,,Ranil Wickremesinghe,extgztorg,2355-09,government,Government of Sri Lanka
2355-10,2023-10-23,,Ranil Wickremesinghe,extgztorg,2355-10,government,Government of Sri Lanka
2363-75,2023-12-22,,Ranil Wickremesinghe,extgztorg,2363-75,government,Government of Sri Lanka
2373-22,2024-02-27,,Ranil Wickremesinghe,extgztorg,2373-22,government,Government of Sri Lanka
2398-39,2024-08-23,,Ranil Wickremesinghe,extgztorg,2398-39,government,Government of Sri Lanka
2398-40,2024-08-23,,Ranil Wickremesinghe,extgztorg,2398-40,government,Government of Sri Lanka
