transaction_id,date,url,description,child_type,child,parent_type,parent
2289-34,2022-07-20,,Ranil Wickremesinghe,extgztperson,2289-34,government,Government of Sri Lanka
2290-17,2022-07-26,,Ranil Wickremesinghe,extgztperson,2290-17,government,Government of Sri Lanka
2291-37,2022-08-04,,Ranil Wickremesinghe,extgztperson,2291-37,government,Government of Sri Lanka
2297-46,2022-09-14,,Ranil Wickremesinghe,extgztperson,2297-46,government,Government of Sri Lanka
2297-61,2022-09-15,,Ranil Wickremesinghe,extgztperson,2297-61,government,Government of Sri Lanka
2304-58,2022-11-04,,Ranil Wickremesinghe,extgztperson,2304-58,government,Government of Sri Lanka
2315-34,2023-01-19,,Ranil Wickremesinghe,extgztperson,2315-34,government,Government of Sri Lanka
2353-56,2023-10-12,,Ranil Wickremesinghe,extgztperson,2353-56,government,Government of Sri Lanka
2355-08,2023-10-23,,Ranil Wickremesinghe,extgztperson,2355-08,government,Government of Sri Lanka
2360-23,2023-11-27,,Ranil Wickremesinghe,extgztperson,2360-23,government,Government of Sri Lanka
2360-60,2023-12-01,,Ranil Wickremesinghe,extgztperson,2360-60,government,Government of Sri Lanka
2369-43,2024-02-02,,Ranil Wickremesinghe,extgztperson,2369-43,government,Government of Sri Lanka
2370-07,2024-02-06,,Ranil Wickremesinghe,extgztperson,2370-07,government,Government of Sri Lanka
2370-06,2024-02-06,,Ranil Wickremesinghe,extgztperson,2370-06,government,Government of Sri Lanka
2370-13,2024-02-07,,Ranil Wickremesinghe,extgztperson,2370-13,government,Government of Sri Lanka
2373-08,2024-02-26,,Ranil Wickremesinghe,extgztperson,2373-08,government,Government of Sri Lanka
2390-12,2024-06-26,,Ranil Wickremesinghe,extgztperson,2390-12,government,Government of Sri Lanka
2395-63,2024-08-02,,Ranil Wickremesinghe,extgztperson,2395-63,government,Government of Sri Lanka
2396-27,2024-08-07,,Ranil Wickremesinghe,extgztperson,2396-27,government,Government of Sri Lanka
2397-41,2024-08-14,,Ranil Wickremesinghe,extgztperson,2397-41,government,Government of Sri Lanka
2397-33,2024-08-14,,Ranil Wickremesinghe,extgztperson,2397-33,government,Government of Sri Lanka
2398-46,2024-08-23,,Ranil Wickremesinghe,extgztperson,2398-46,government,Government of Sri Lanka
2398-47,2024-08-23,,Ranil Wickremesinghe,extgztperson,2398-47,government,Government of Sri Lanka
2400-41,2024-09-06,,Ranil Wickremesinghe,extgztperson,2400-41,government,Government of Sri Lanka
2401-18,2024-09-10,,Ranil Wickremesinghe,extgztperson,2401-18,government,Government of Sri Lanka
2401-32,2024-09-13,,Ranil Wickremesinghe,extgztperson,2401-32,government,Government of Sri Lanka
