transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-39_tr_01,Anura Kumara Dissanayake,citizen,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_02,Anura Kumara Dissanayake,citizen,"Minister of Education, Science and Technology",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_03,Anura Kumara Dissanayake,citizen,"Minister of Women, Child and Youth Affairs and Sports",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_04,Anura Kumara Dissanayake,citizen,"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_05,Anura Kumara Dissanayake,citizen,Minister of Health,cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_06,Anura Kumara Dissanayake,citizen,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_07,Anura Kumara Dissanayake,citizen,"Minister of Transport, Highways, Ports and Civil Aviation",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_08,Anura Kumara Dissanayake,citizen,Minister of Public Security,cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_09,Anura Kumara Dissanayake,citizen,Minister of Foreign Affairs,cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_10,Anura Kumara Dissanayake,citizen,"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",cabinetMinister,AS_MINISTER,2024-09-25
2403-39_tr_11,Anura Kumara Dissanayake,citizen,"Minister of Rural and Urban Development, Housing and Construction",cabinetMinister,AS_MINISTER,2024-09-25
