transaction_id,parent,parent_type,child,child_type,rel_type,date
2412-08_tr_03,"Minister of Finance, Planning and Economic Development",cabinetMinister,National Credit Guarantee Institution Limited,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_05,"Minister of Finance, Planning and Economic Development",cabinetMinister,Canwill Holdings (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_06,"Minister of Finance, Planning and Economic Development",cabinetMinister,Provident Property Lanka Ltd - Institution being reviewed,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_07,"Minister of Finance, Planning and Economic Development",cabinetMinister,Asian Game (pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_08,"Minister of Finance, Planning and Economic Development",cabinetMinister,Commonwealth Game Hambantota (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_09,"Minister of Finance, Planning and Economic Development",cabinetMinister,Magampura Port Management Company (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_10,"Minister of Finance, Planning and Economic Development",cabinetMinister,Mihin Lanka (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_11,"Minister of Finance, Planning and Economic Development",cabinetMinister,Peliyagoda warehouse,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_12,"Minister of Finance, Planning and Economic Development",cabinetMinister,Strategic Enterprises Management Agency,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_13,"Minister of Finance, Planning and Economic Development",cabinetMinister,Lanka Fabric Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_14,Minister of Energy,cabinetMinister,Trinco Petroleum Terminal (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_16,"Minister of Agriculture, Livestock, Land and Irrigation",cabinetMinister,Mahaweli Consultancy Bureau (Pvt) Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_26,Minister of Justice and National Integration,cabinetMinister,Sri Lanka Judges Institute,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_27,Minister of Justice and National Integration,cabinetMinister,Non Judicial Officers Training Institute,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_29,"Minister of Education, Higher Education and Vocational Education",cabinetMinister,South Asian Centre for Teacher Development (SACTD),department,AS_DEPARTMENT,2024-11-25
2412-08_tr_35,"Minister of Trade, Commerce, Food Security and Cooperative Development",cabinetMinister,State Trading Co-operative Wholesale Co. Ltd,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_40,Minister of Health and Mass Media,cabinetMinister,Online Safety Commission,department,AS_DEPARTMENT,2024-11-25
2412-08_tr_166,Minister of Industry and Entrepreneurship Development,cabinetMinister,Small Enterprise Development Division,department,AS_DEPARTMENT,2024-11-25
