transaction_id,parent,parent_type,child,child_type,rel_type,date
2153-12_tr_30,Minister of Defence,cabinetMinister,Office of the Chief of Defence Staff,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_31,Minister of Defence,cabinetMinister,Sri Lanka Army,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_32,Minister of Defence,cabinetMinister,Sri Lanka Navy,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_33,Minister of Defence,cabinetMinister,Sri Lanka Air Force,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_34,Minister of Defence,cabinetMinister,Sri Lanka Police,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_35,Minister of Defence,cabinetMinister,Department of Civil Security,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_36,Minister of Defence,cabinetMinister,State Intelligence Service,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_37,Minister of Defence,cabinetMinister,Ranaviru Seva Authority,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_38,Minister of Defence,cabinetMinister,Sir John Kotelawala Defence University,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_39,Minister of Defence,cabinetMinister,Defence Services Command and Staff College,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_40,Minister of Defence,cabinetMinister,Defence Services School,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_41,Minister of Defence,cabinetMinister,National Cadet Corps,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_42,Minister of Defence,cabinetMinister,National Defence Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_43,Minister of Defence,cabinetMinister,Defence Research and Development Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_44,Minister of Defence,cabinetMinister,Sri Lanka Institute of National Defence Studies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_45,Minister of Defence,cabinetMinister,Coast Guard Department of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_46,Minister of Defence,cabinetMinister,Lanka Logistics Limited,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_47,Minister of Defence,cabinetMinister,Rakna Arakshana Lanka Ltd.,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_48,Minister of Defence,cabinetMinister,National Dangerous Drugs Control Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_49,Minister of Defence,cabinetMinister,Department of Immigration and Emigration,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_50,Minister of Defence,cabinetMinister,Department of Registration of Persons,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_51,Minister of Defence,cabinetMinister,National Media Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_52,Minister of Defence,cabinetMinister,Secretariat for Non-Governmental Organizations,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_53,Minister of Defence,cabinetMinister,The Telecommunications Regulatory Commission of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_54,Minister of Defence,cabinetMinister,Information and Communication Technology Agency of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_55,Minister of Defence,cabinetMinister,Sri Lanka Computer Emergency Readiness Team,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_56,Minister of Defence,cabinetMinister,National Disaster Management Council,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_57,Minister of Defence,cabinetMinister,Disaster Management Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_58,Minister of Defence,cabinetMinister,National Disaster Relief Services Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_59,Minister of Defence,cabinetMinister,Department of Meteorology,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_60,Minister of Defence,cabinetMinister,National Building Research Organization,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_61,"Minister of Finance, Economic and Policy Development",cabinetMinister,National Planning Department,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_62,"Minister of Finance, Economic and Policy Development",cabinetMinister,General Treasury,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_63,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Fiscal Policy,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_64,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of National Budget,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_65,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Management Services,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_66,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Public Enterprises,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_67,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of External Resources,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_68,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Public Finance,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_69,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Treasury Operations,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_70,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Public Accounts,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_71,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Trade and Investment Policies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_72,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Development Finance,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_73,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Information Technology Management,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_74,"Minister of Finance, Economic and Policy Development",cabinetMinister,Office of Comptroller General,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_75,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Legal Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_76,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Project Management and Supervision,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_77,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Management Auditing,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_78,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Inland Revenue,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_79,"Minister of Finance, Economic and Policy Development",cabinetMinister,Sri Lanka Customs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_80,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Imports and Exports,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_81,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Excise,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_82,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Census and Statistics,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_83,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Valuation,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_84,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Registrar Companies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_85,"Minister of Finance, Economic and Policy Development",cabinetMinister,Welfare Benefits Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_86,"Minister of Finance, Economic and Policy Development",cabinetMinister,Department of Commerce,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_87,"Minister of Finance, Economic and Policy Development",cabinetMinister,Central Bank of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_88,"Minister of Finance, Economic and Policy Development",cabinetMinister,Security and Exchange Commission of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_89,"Minister of Finance, Economic and Policy Development",cabinetMinister,Sri Lanka Insurance Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_90,"Minister of Finance, Economic and Policy Development",cabinetMinister,Credit Information Bureau,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_91,"Minister of Finance, Economic and Policy Development",cabinetMinister,National Operations Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_92,"Minister of Finance, Economic and Policy Development",cabinetMinister,Public Service Mutual Benefits Association,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_93,"Minister of Finance, Economic and Policy Development",cabinetMinister,Lady Lochore Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_94,"Minister of Finance, Economic and Policy Development",cabinetMinister,Tax Appeal Commission,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_95,"Minister of Finance, Economic and Policy Development",cabinetMinister,"Strike, Riot, Civil Commotion and Terrorism Fund",department,AS_DEPARTMENT,2019-12-10
2153-12_tr_96,"Minister of Finance, Economic and Policy Development",cabinetMinister,Sri Lanka Accounting and Auditing Standard Monitoring Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_97,"Minister of Finance, Economic and Policy Development",cabinetMinister,Public Utilities Commission of Sri Lanka,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_98,"Minister of Finance, Economic and Policy Development",cabinetMinister,Institute of Policy Studies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_99,"Minister of Finance, Economic and Policy Development",cabinetMinister,Sustainable Development Council,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_100,"Minister of Finance, Economic and Policy Development",cabinetMinister,Hotel Developers (Lanka) PLC (PQ 143),department,AS_DEPARTMENT,2019-12-10
2153-12_tr_101,"Minister of Finance, Economic and Policy Development",cabinetMinister,National Lotteries Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_102,"Minister of Finance, Economic and Policy Development",cabinetMinister,Development Lotteries Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_103,"Minister of Finance, Economic and Policy Development",cabinetMinister,All State Bank and their subsidiaries and related institutions,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_104,"Minister of Finance, Economic and Policy Development",cabinetMinister,Sri Lanka Export Credit Insurance Corporation,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_105,"Minister of Finance, Economic and Policy Development",cabinetMinister,National Insurance Trust Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_106,"Minister of Finance, Economic and Policy Development",cabinetMinister,Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_107,"Minister of Finance, Economic and Policy Development",cabinetMinister,Employees' Trust Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_108,"Minister of Finance, Economic and Policy Development",cabinetMinister,State Resources Management Corporation,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_109,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of Buddhist Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_110,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Buddhasasana Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_111,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Buddhist Renaissance Fund,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_112,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,International Buddhist Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_113,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of Hindu Religious and Cultural Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_114,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of Christian Religious Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_115,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of Muslim Religious and Cultural Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_116,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of Cultural Affairs,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_117,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of National Museums,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_118,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Department of Archaeology,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_119,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Tower Hall Theatre Foundation,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_120,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Public Performance Board,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_121,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,National Arts Council,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_122,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Gramodaya Folk Arts Centre,department,AS_DEPARTMENT,2019-12-10
2153-12_tr_123,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Ape Gama,department,AS_DEPARTMENT,2019-12-10
