transaction_id,parent,parent_type,child,child_type,rel_type,date
2154-55_tr_01,Gotabaya Rajapaksa,citizen,State Minister of Defence,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_02,Gotabaya Rajapaksa,citizen,State Minister of Water Supply Facilities,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_03,Gotabaya Rajapaksa,citizen,State Minister of Urban Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_04,Gotabaya Rajapaksa,citizen,State Minister of Irrigation and Rural Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_05,Gotabaya Rajapaksa,citizen,State Minister of Lands and Land Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_06,Gotabaya Rajapaksa,citizen,State Minister of Economy and Policy Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_07,Gotabaya Rajapaksa,citizen,State Minister of Public Administration and Home Affairs,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_08,Gotabaya Rajapaksa,citizen,State Minister of Railway Services,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_09,Gotabaya Rajapaksa,citizen,State Minister of Information and Communication Technology,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_10,Gotabaya Rajapaksa,citizen,State Minister of Small & Medium Enterprise Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_11,Gotabaya Rajapaksa,citizen,State Minister of Internal Trade and Consumer Welfare,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_12,Gotabaya Rajapaksa,citizen,State Minister of International Co-operation,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_13,Gotabaya Rajapaksa,citizen,State Minister of Indigenous Medicine Services,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_14,Gotabaya Rajapaksa,citizen,State Minister of Education Services,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_15,Gotabaya Rajapaksa,citizen,State Minister of Power,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_16,Gotabaya Rajapaksa,citizen,State Minister of Youth Affairs,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_17,Gotabaya Rajapaksa,citizen,State Minister of Energy,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_18,Gotabaya Rajapaksa,citizen,State Minister of Industries,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_19,Gotabaya Rajapaksa,citizen,State Minister of Public Management and Accounting,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_20,Gotabaya Rajapaksa,citizen,State Minister of Investment Promotions,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_21,Gotabaya Rajapaksa,citizen,State Minister of Tourism Promotion Affairs,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_22,Gotabaya Rajapaksa,citizen,State Minister of Technology and Innovations,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_23,Gotabaya Rajapaksa,citizen,State Minister of Human Rights and Law Reforms,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_24,Gotabaya Rajapaksa,citizen,State Minister of Women and Child Affairs,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_25,Gotabaya Rajapaksa,citizen,State Minister of Mahaweli Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_26,Gotabaya Rajapaksa,citizen,State Minister of Export Agriculture,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_27,Gotabaya Rajapaksa,citizen,State Minister of Agriculture,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_28,Gotabaya Rajapaksa,citizen,State Minister of Development Banking and Loan Schemes,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_29,Gotabaya Rajapaksa,citizen,State Minister of Ports Development Affairs,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_30,Gotabaya Rajapaksa,citizen,State Minister of Transport Services Management,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_31,Gotabaya Rajapaksa,citizen,State Minister of Highways Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_32,Gotabaya Rajapaksa,citizen,State Minister of Wildlife Resources,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_33,Gotabaya Rajapaksa,citizen,State Minister of Environment,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_34,Gotabaya Rajapaksa,citizen,State Minister of Fisheries and Inland Fisheries Industry,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_35,Gotabaya Rajapaksa,citizen,State Minister of Social Security,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_36,Gotabaya Rajapaksa,citizen,State Minister of Community Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_37,Gotabaya Rajapaksa,citizen,State Minister of Tea Industry Development,stateMinister,AS_MINISTER,2019-12-21
2154-55_tr_38,Gotabaya Rajapaksa,citizen,State Minister of Housing,stateMinister,AS_MINISTER,2019-12-21
