transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2156-03_tr_01,,State Minister of Economy and Policy Development,National Planning Department,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_02,,State Minister of Economy and Policy Development,Department of Public Enterprises,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_03,,State Minister of Economy and Policy Development,Department of Trade and Investment Policies,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_04,,State Minister of Economy and Policy Development,Department of Census and Statistics,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_05,,State Minister of Economy and Policy Development,Department of Valuation,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_06,,State Minister of Economy and Policy Development,Department of Registrar Companies,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_07,,State Minister of Economy and Policy Development,Department of Commerce,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_08,,State Minister of Economy and Policy Development,Sustainable Development Council,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_10,,State Minister of Development Banks and Loans,Department of Development Finance,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_11,,State Minister of Development Banks and Loans,Credit Information Bureau,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2156-03_tr_12,,State Minister of Development Banks and Loans,Sri Lanka Export Credit Insurance Corporation,department,2019-12-30,Gotabaya Rajapaksa,Gotabaya Rajapaksa

