transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2187-27_tr_02,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",Sri Lanka Police,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_06,"Minister of Buddhasasana, Cultural and Religious Affairs",Minister of Defence,Department of Archaeology,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_07,State Minister of Public Management and Accounting,Minister of Defence,Miloda Institute (Academy of Financial Studies),department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_08,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government","State Minister of Internal Security, Home Affairs and Disaster Management",All District Secretariats and Divisional Secretariats,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_10,State Minister of Public Administration and Home Affairs,"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Registrar General,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_11,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Registration of Persons,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_12,"Minister of Mahaweli, Agriculture, Irrigation and Rural Development","State Minister of Internal Security, Home Affairs and Disaster Management",Department of Immigration and Emigration,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_13,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",Secretariat for Non-Governmental Organizations,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_14,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",National Disaster Management Council,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_15,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",Disaster Management Centre,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_16,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",National Disaster Relief Services Centre,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_17,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",Department of Meteorology,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_18,Minister of Defence,"State Minister of Internal Security, Home Affairs and Disaster Management",National Building Research Organization,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_24,"Minister of Finance",State Minister of Money and Capital Market and State Enterprise Reforms,Department of Public Enterprises,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_25,"Minister of Finance",State Minister of Money and Capital Market and State Enterprise Reforms,Department of Project Management and Supervision,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_26,"Minister of Finance",State Minister of Money and Capital Market and State Enterprise Reforms,National Operations Centre,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_31,State Minister of Women and Child Affairs,Minister of Finance,Protection of Children-National Trust Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_32,"Minister of Skills Development, Employment and Labour Relations",Minister of Finance,Shrama Vasana Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_33,Minister of Healthcare and Indigenous Medical Services,Minister of Finance,National Health Development Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_34,State Minister of Indigenous Medical Services,Minister of Finance,Kidney Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_35,Minister of Plantation Industries and Export Agriculture,Minister of Finance,Tea Shakthi Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_36,Minister of Plantation Industries and Export Agriculture,Minister of Finance,Kapruka Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_37,State Minister of Public Administration and Home Affairs,Minister of Finance,Public Service Pensioners' Trust Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_38,"Minister of Buddhasasana, Cultural and Religious Affairs",Minister of Finance,Buddhasasana Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_39,"Minister of Buddhasasana, Cultural and Religious Affairs",Minister of Finance,Buddhist Renaissance Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_40,"Minister of Skills Development, Employment and Labour Relations",Minister of Finance,Skills Development Fund Ltd.,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_41,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",Minister of Finance,Local Loans and Development Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_42,"Minister of Higher Education, Technology and Innovation",Minister of Finance,Inventors' Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_43,Minister of Plantation Industries and Export Agriculture,Minister of Finance,Thurusaviya Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_44,"Minister of Buddhasasana, Cultural and Religious Affairs",Minister of Finance,Central Cultural Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_46,"Minister of Finance, Economic and Policy Development","State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",State Resources Management Corporation,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_47,Minister of Women & Child Affairs and Social Security,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",Department of Samurdhi Development,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_49,Minister of Small & Medium Business and Enterprise Development,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",National Enterprise Development Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_50,Minister of Small & Medium Business and Enterprise Development,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",Small and Medium Enterprise Venture Capital Company,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_51,Minister of Small & Medium Business and Enterprise Development,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",Small and Medium Enterprise Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_52,Minister of Community Empowerment and Estate Infrastructure Development,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",Gramashakthi Bureau,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_53,Minister of Women & Child Affairs and Social Security,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",National Social Development Institute,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_54,State Minister of Social Security,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",Rural Development Training and Research Institute,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_55,State Minister of Social Security,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",Social Security Board,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_56,State Minister of Social Security,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",National Council for Persons with Disabilities,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_57,State Minister of Social Security,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development",National Secretariat for Persons with Disabilities,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_65,"Minister of Buddha Sasana, Religious and Cultural Affairs","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Tower Hall Theatre Foundation,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_66,"Minister of Buddha Sasana, Religious and Cultural Affairs","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",National Arts Council,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_67,"Minister of Buddha Sasana, Religious and Cultural Affairs","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Gramodaya Folk Arts Centre,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_68,"Minister of Buddha Sasana, Religious and Cultural Affairs","State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Ape Gama,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
