transaction_id,parent,parent_type,child,child_type,rel_type,date
2297-46_tr_01,Ranil Wickremesinghe,citizen,State Minister of Foreign Employment Promotion,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_02,Ranil Wickremesinghe,citizen,State Minister of Finance,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_03,Ranil Wickremesinghe,citizen,State Minister of Transport,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_04,Ranil Wickremesinghe,citizen,State Minister of Investment Promotion,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_05,Ranil Wickremesinghe,citizen,State Minister of Technology,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_06,Ranil Wickremesinghe,citizen,State Minister of Provincial Councils and Local Government,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_08,Ranil Wickremesinghe,citizen,State Minister of Agriculture,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_09,Ranil Wickremesinghe,citizen,State Minister of Urban Development and Housing,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_10,Ranil Wickremesinghe,citizen,State Minister of Defence,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_11,Ranil Wickremesinghe,citizen,State Minister of Sports and Youth Affairs,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_13,Ranil Wickremesinghe,citizen,State Minister of Piriven Education,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_14,Ranil Wickremesinghe,citizen,State Minister of Plantation Industries,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_15,Ranil Wickremesinghe,citizen,State Minister of Foreign Affairs,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_16,Ranil Wickremesinghe,citizen,State Minister of Power and Energy,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_17,Ranil Wickremesinghe,citizen,State Minister of Water Supply,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_18,Ranil Wickremesinghe,citizen,State Minister of Highways,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_19,Ranil Wickremesinghe,citizen,State Minister of Mass Media,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_20,Ranil Wickremesinghe,citizen,State Minister of Justice and Prison Affairs,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_21,Ranil Wickremesinghe,citizen,State Minister of Trade,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_22,Ranil Wickremesinghe,citizen,State Minister of Indigenous Medicine,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_23,Ranil Wickremesinghe,citizen,State Minister of Fisheries,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_24,Ranil Wickremesinghe,citizen,State Minister of Small and Medium Enterprises Development,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_26,Ranil Wickremesinghe,citizen,State Minister of Livestock Development,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_27,Ranil Wickremesinghe,citizen,State Minister of Irrigation,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_28,Ranil Wickremesinghe,citizen,State Minister of Health,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_29,Ranil Wickremesinghe,citizen,State Minister of Rural Economy,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_30,Ranil Wickremesinghe,citizen,State Minister of Home Affairs,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_31,Ranil Wickremesinghe,citizen,State Minister of Education,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_32,Ranil Wickremesinghe,citizen,State Minister of Women and Child Affairs,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_33,Ranil Wickremesinghe,citizen,State Minister of Rural Road Development,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_34,Ranil Wickremesinghe,citizen,State Minister of Higher Education,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_35,Ranil Wickremesinghe,citizen,State Minister of Tourism,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_36,Ranil Wickremesinghe,citizen,State Minister of Primary Industries,stateMinister,AS_MINISTER,2020-09-08
2297-46_tr_37,Ranil Wickremesinghe,citizen,State Minister of Social Empowerment,stateMinister,AS_MINISTER,2020-09-08
