transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2301-32_tr_01,,State Minister of Primary Industries,Lanka Leyland Ltd.,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_02,,State Minister of Primary Industries,Lanka Ashok Leyland Ltd.,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_03,,State Minister of Primary Industries,National Paper Corporation Ltd.,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_04,,State Minister of Primary Industries,Kahagolla Engineering Services Company Ltd. (KESCO),department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_05,,State Minister of Primary Industries,National Salt Limited,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_06,,State Minister of Primary Industries,Lanka Cement Ltd,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_07,,State Minister of Primary Industries,Sri Lanka Cement Corporation,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_08,,State Minister of Primary Industries,Kahatagaha Graphite Lanka Ltd,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_09,,State Minister of Primary Industries,Ceylon Ceramics Corporation (Brick and Tiles Division),department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_10,,State Minister of Primary Industries,BCC (Pvt) Limited,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_11,,State Minister of Primary Industries,National Gem and Jewellery Authority,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_12,,State Minister of Primary Industries,Gem and Jewellery Research and Training Institute,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_13,,State Minister of Small and Medium Enterprises Development,National Enterprise Development Authority,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_14,,State Minister of Small and Medium Enterprises Development,SME Venture Capital Company,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_15,,State Minister of Small and Medium Enterprises Development,SME Authority,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_16,,State Minister of Small and Medium Enterprises Development,Timber-related Design Centre,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_17,,State Minister of Small and Medium Enterprises Development,National Crafts Council,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_18,,State Minister of Small and Medium Enterprises Development,Department of Textile Industries,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_19,,State Minister of Small and Medium Enterprises Development,Sri Lanka Institute of Textile and Apparels,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_20,,State Minister of Small and Medium Enterprises Development,Lanka Textile Mills Emporium Ltd.,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_21,,State Minister of Small and Medium Enterprises Development,Lanka Salusala Ltd.,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_22,,State Minister of Small and Medium Enterprises Development,Sri Lanka Handicraft Board (Laksala),department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-32_tr_23,,State Minister of Small and Medium Enterprises Development,National Design Centre,department,2022-10-11,Ranil Wickremesinghe,Ranil Wickremesinghe
