transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2301-55_tr_01,,State Minister of Health,School of Medical Laboratory Technology,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_02,,State Minister of Health,Private Health Services Regulatory Council,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_03,,State Minister of Health,Sri Jayewardenepura General Hospital,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_04,,State Minister of Health,Vijaya Kumaratunga Memorial Hospital,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_05,,State Minister of Health,National Authority on Tobacco and Alcohol,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_06,,State Minister of Health,1990 Suwaseriya Foundation,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_07,,State Minister of Indigenous Medicine,Department of Ayurveda,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_08,,State Minister of Indigenous Medicine,Sri Lanka Ayurvedic Drugs Corporation,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_09,,State Minister of Indigenous Medicine,Ayurvedic Medical Council,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_10,,State Minister of Indigenous Medicine,Ayurvedic College and Hospital Board,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_11,,State Minister of Indigenous Medicine,Ayurveda Teaching and Research Hospitals,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_12,,State Minister of Indigenous Medicine,Homeopathy Medical Council,department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-55_tr_13,,State Minister of Indigenous Medicine,"Homeopathy Hospital, Welisara",department,2022-09-28,Ranil Wickremesinghe,Ranil Wickremesinghe










