transaction_id,parent,parent_type,child,child_type,rel_type,date
2297-46_tr_01,"State Minister of Foreign Employment Promotion",stateMinister,A P Jagath Pushpakumara,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_02,"State Minister of Finance",stateMinister,Ranjith Siyambalapitiya,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_03,"State Minister of Transport",stateMinister,Lasantha Alagiyawanna,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_04,"State Minister of Investment Promotion",stateMinister,Amunugama Dilum Suraj Bandara,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_05,"State Minister of Technology",stateMinister,Kanaka Herath,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_06,"State Minister of Provincial Councils and Local Government",stateMinister,Janaka Wakkumbura,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_07,"State Minister of Finance",stateMinister,Asanka Shehan Semasinghe,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_08,"State Minister of Agriculture",stateMinister,Agampodi Mohan Priyadarshana De Silva,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_09,"State Minister of Urban Development and Housing",stateMinister,Amith Thenuka Vidanagamage,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_10,"State Minister of Defence",stateMinister,Thennakoon Pramitha Bandara,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_11,"State Minister of Sports and Youth Affairs",stateMinister,Rohana Dissanayaka,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_12,"State Minister of Urban Development and Housing",stateMinister,Arundika Fernando,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_13,"State Minister of Piriven Education",stateMinister,Vijitha Berugoda,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_14,"State Minister of Plantation Industries",stateMinister,Lohan Ratwatte,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_15,"State Minister of Foreign Affairs",stateMinister,Tharaka Balasuriya,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_16,"State Minister of Power and Energy",stateMinister,Indika Anuruddha,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_17,"State Minister of Water Supply",stateMinister,Sanath Nishantha,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_18,"State Minister of Highways",stateMinister,Siripala Gamlath,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_19,"State Minister of Mass Media",stateMinister,Shantha Bandara,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_20,"State Minister of Justice and Prison Affairs",stateMinister,Anuradha Jayaratne,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_21,"State Minister of Trade",stateMinister,Sathasivam Viyalendiran,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_22,"State Minister of Indigenous Medicine",stateMinister,Arachchilage Sisira Jayakody,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_23,"State Minister of Fisheries",stateMinister,Piyal Nishantha De Silva,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_24,"State Minister of Small and Medium Enterprises Development",stateMinister,Prasanna Ranaweera Bulathwalage,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_25,"State Minister of Power and Energy",stateMinister,Denagama Vitharanage Chanaka Dinushan,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_26,"State Minister of Livestock Development",stateMinister,D.B. Herath,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_27,"State Minister of Irrigation",stateMinister,Shashindra Rajapaksa,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_28,"State Minister of Health",stateMinister,Wijayapala Sri Narayana Wasala Bandaranayake Mohottalalage Seetha Kumari Arambepola,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_29,"State Minister of Rural Economy",stateMinister,Khadar Khadar Masthan,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_30,"State Minister of Home Affairs",stateMinister,Ashoka Priyantha,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_31,"State Minister of Education",stateMinister,A. Aravind Kumar,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_32,"State Minister of Women and Child Affairs",stateMinister,Geetha Samanmalee Kumarasingha,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_33,"State Minister of Rural Road Development",stateMinister,Sivanesathurai Chandrakanthan,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_34,"State Minister of Higher Education",stateMinister,Surendra Ragawan,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_35,"State Minister of Tourism",stateMinister,Diana Gamage,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_36,"State Minister of Primary Industries",stateMinister,Don Arthar Chamara Sampath Dasanayake,citizen,AS_APPOINTED,2022-09-08
2297-46_tr_37,"State Minister of Social Empowerment",stateMinister,Anupa Pium Pasqual,citizen,AS_APPOINTED,2022-09-08
